Question,Option 1,Option 2,Option 3,Option 4,Answer
"In a code, MRWNY is written as NSXOZ. How is MNRWY written in that code?",WFFVJ,MNRGC,NSXOZ,UFDHT,NSXOZ
"In a code, ZWJDG is written as AXKEH. How is DGJWZ written in that code?",AXKEH,WNEHE,ZMZQO,GYOZD,AXKEH
"In a code, UWUBJ is written as VXVCK. How is BJUUW written in that code?",BITTV,OCPBX,THPWO,VXVCK,VXVCK
"In a code, LECHR is written as MFDIS. How is CEHLR written in that code?",WAGEW,EIRQC,MFDIS,MDRMY,MFDIS
"In a code, ZFKUQ is written as AGLVR. How is FKQUZ written in that code?",AGLVR,KOPNW,CZSNC,GMNFE,AGLVR
"In a code, UNNBS is written as VOOCT. How is BNNSU written in that code?",AWYQG,VOOCT,ZHMWU,LOPVR,VOOCT
"In a code, UDDCB is written as VEEDC. How is BCDDU written in that code?",YBFZH,VEEDC,IUBTG,KTELN,VEEDC
"In a code, NLLYH is written as OMMZI. How is HLLNY written in that code?",OMMZI,TITYW,PMKCU,BBISC,OMMZI
"In a code, IJBAW is written as JKCBX. How is ABIJW written in that code?",YWQVB,QDXVO,IHWPW,JKCBX,JKCBX
"In a code, DWCHC is written as EXDID. How is CCDHW written in that code?",EXDID,JLLLG,IHJCO,CWCRW,EXDID
"In a code, KNFCX is written as LOGDY. How is CFKNX written in that code?",LFWOJ,LOGDY,HTAWN,XSRSI,LOGDY
"In a code, SZXGC is written as TAYHD. How is CGSXZ written in that code?",PIPXG,TAYHD,YMCSR,EIXWD,TAYHD
"In a code, YFPCV is written as ZGQDW. How is CFPVY written in that code?",VKHMC,QHWLH,EHRMV,ZGQDW,ZGQDW
"In a code, JSOGI is written as KTPHJ. How is GIJOS written in that code?",BZOMG,KTPHJ,LOSHO,FMDLW,KTPHJ
"In a code, BVIGJ is written as CWJHK. How is BGIJV written in that code?",GYEBR,CWJHK,DVRXE,PARDD,CWJHK
"In a code, RZWAP is written as SAXBQ. How is APRWZ written in that code?",HFILO,KLIBY,SAXBQ,UZHCA,SAXBQ
"In a code, HKOFJ is written as ILPGK. How is FHJKO written in that code?",ILPGK,REIMC,DVEZN,SMIAA,ILPGK
"In a code, GELQN is written as HFMRO. How is EGLNQ written in that code?",IFYPW,HFMRO,MLVCY,TOKEK,HFMRO
"In a code, GNTAB is written as HOUBC. How is ABGNT written in that code?",FBKRB,HOUBC,UCERO,LNJGK,HOUBC
"In a code, QSWQT is written as RTXRU. How is QQSTW written in that code?",TFBCK,AHPBD,NWCNR,RTXRU,RTXRU
"In a code, EUQYH is written as FVRZI. How is EHQUY written in that code?",FVRZI,VSFHS,IYOAI,FLINN,FVRZI
"In a code, MNKUO is written as NOLVP. How is KMNOU written in that code?",CIQMZ,ESINL,KIXTF,NOLVP,NOLVP
"In a code, CWIGV is written as DXJHW. How is CGIVW written in that code?",ZJBQY,DXJHW,OMPAK,RBDYK,DXJHW
"In a code, AMMPA is written as BNNQB. How is AAMMP written in that code?",RECBX,BNNQB,CIGWE,SBUSR,BNNQB
"In a code, BWVWQ is written as CXWXR. How is BQVWW written in that code?",XWVAS,PETMD,CXWXR,VNQQW,CXWXR
"In a code, ESCUI is written as FTDVJ. How is CEISU written in that code?",ZTAXF,MLNSI,NRFAX,FTDVJ,FTDVJ
"What is the next number in the sequence: [10, 2, 8, 1, 9]?",7,10,14,20,20
"What is the next number in the sequence: [1, 8, 9, 10, 6]?",6,10,12,14,14
"What is the next number in the sequence: [7, 5, 2, 3, 10]?",5,15,18,20,15
"What is the next number in the sequence: [10, 4, 9, 2, 3]?",1,11,12,14,14
"What is the next number in the sequence: [10, 7, 1, 9, 5]?",3,9,12,15,12
"What is the next number in the sequence: [4, 8, 10, 9, 6]?",2,5,14,19,14
"What is the next number in the sequence: [9, 3, 7, 2, 10]?",2,8,9,15,15
"What is the next number in the sequence: [7, 8, 10, 4, 5]?",4,12,19,20,20
"What is the next number in the sequence: [7, 5, 6, 2, 8]?",5,6,15,18,15
"What is the next number in the sequence: [9, 8, 2, 10, 6]?",7,13,18,19,18
"What is the next number in the sequence: [2, 7, 9, 5, 4]?",4,6,16,18,16
"What is the next number in the sequence: [9, 7, 2, 1, 10]?",6,11,13,14,13
"What is the next number in the sequence: [1, 9, 4, 6, 5]?",1,2,10,18,18
"What is the next number in the sequence: [10, 5, 7, 6, 9]?",1,5,11,17,17
"What is the next number in the sequence: [3, 8, 5, 1, 10]?",3,12,16,19,16
"What is the next number in the sequence: [3, 7, 5, 8, 10]?",11,14,18,20,20
"What is the next number in the sequence: [4, 3, 10, 8, 7]?",7,11,12,16,16
"What is the next number in the sequence: [10, 8, 9, 4, 1]?",2,10,14,17,14
"What is the next number in the sequence: [8, 6, 4, 10, 3]?",5,6,12,13,13
"What is the next number in the sequence: [7, 10, 9, 2, 3]?",6,9,12,15,12
"What is the next number in the sequence: [8, 2, 4, 9, 3]?",4,11,14,20,14
"What is the next number in the sequence: [5, 2, 3, 9, 10]?",4,5,9,19,19
"What is the next number in the sequence: [4, 8, 6, 3, 5]?",2,13,19,20,19
"What is the next number in the sequence: [4, 3, 9, 2, 1]?",7,11,15,17,15
"What is the next number in the sequence: [5, 10, 2, 6, 1]?",8,11,12,20,11
"What is the next number in the sequence: [8, 9, 5, 4, 10]?",8,9,14,15,14
"What is the next number in the sequence: [4, 6, 1, 10, 2]?",5,8,11,17,17
"What is the next number in the sequence: [4, 9, 6, 3, 10]?",14,15,16,18,16
"What is the next number in the sequence: [9, 7, 10, 5, 8]?",5,8,16,19,16
"What is the next number in the sequence: [10, 8, 5, 7, 1]?",2,3,6,16,16
"What is the next number in the sequence: [7, 8, 6, 2, 10]?",2,7,11,20,20
"What is the next number in the sequence: [9, 7, 10, 2, 6]?",4,9,13,15,15
"What is the next number in the sequence: [6, 2, 8, 1, 9]?",2,4,17,20,20
"What is the next number in the sequence: [6, 7, 5, 8, 10]?",1,3,4,19,19
"What is the next number in the sequence: [2, 1, 5, 9, 6]?",5,8,13,16,16
"What is the next number in the sequence: [1, 5, 6, 3, 8]?",6,15,18,20,18
"What is the next number in the sequence: [10, 4, 3, 7, 6]?",11,12,15,19,11
"What is the next number in the sequence: [8, 6, 9, 7, 4]?",4,11,12,16,11
"What is the next number in the sequence: [10, 1, 5, 6, 4]?",3,6,15,17,15
"What is the next number in the sequence: [10, 6, 2, 8, 3]?",11,13,14,15,13
"What is the next number in the sequence: [2, 8, 4, 10, 7]?",2,11,12,20,11
"What is the next number in the sequence: [5, 7, 9, 6, 2]?",1,2,6,14,14
"What is the next number in the sequence: [6, 5, 2, 10, 9]?",3,5,13,14,13
"What is the next number in the sequence: [1, 5, 4, 7, 3]?",7,10,16,17,16
"What is the next number in the sequence: [1, 6, 4, 9, 8]?",10,11,12,20,11
"What is the next number in the sequence: [1, 9, 6, 3, 8]?",5,6,14,20,14
"What is the next number in the sequence: [6, 9, 1, 4, 7]?",1,6,15,18,18
"What is the next number in the sequence: [5, 7, 1, 9, 6]?",15,16,18,19,15
"What is the next number in the sequence: [5, 8, 7, 6, 9]?",4,5,16,19,16
"What is the next number in the sequence: [9, 2, 3, 5, 1]?",10,15,17,18,17
"What is the next number in the sequence: [7, 1, 5, 9, 4]?",5,9,14,20,14
"What is the next number in the sequence: [5, 8, 6, 10, 1]?",1,5,10,13,13
"What is the next number in the sequence: [2, 10, 3, 4, 6]?",7,9,12,13,12
"What is the next number in the sequence: [4, 8, 6, 3, 5]?",3,11,13,18,18
"What is the next number in the sequence: [7, 5, 10, 9, 4]?",5,13,14,16,13
"What is the next number in the sequence: [8, 5, 2, 3, 4]?",14,15,16,20,16
"What is the next number in the sequence: [5, 6, 8, 4, 10]?",4,7,19,20,20
"What is the next number in the sequence: [6, 9, 5, 7, 3]?",3,8,11,15,11
"What is the next number in the sequence: [2, 7, 4, 8, 9]?",3,5,14,20,20
"What is the next number in the sequence: [6, 10, 7, 2, 9]?",1,11,17,18,11
"What is the next number in the sequence: [6, 8, 3, 7, 1]?",4,5,9,16,16
"What is the next number in the sequence: [6, 8, 4, 2, 7]?",6,7,10,20,20
"What is the next number in the sequence: [2, 10, 3, 4, 5]?",2,4,6,20,20
"What is the next number in the sequence: [1, 8, 3, 9, 10]?",5,15,18,20,18
"What is the next number in the sequence: [8, 3, 7, 6, 1]?",1,4,13,19,13
"What is the next number in the sequence: [9, 5, 3, 6, 7]?",3,8,9,20,20
"What is the next number in the sequence: [5, 6, 10, 1, 9]?",5,7,14,18,14
"What is the next number in the sequence: [10, 5, 6, 3, 9]?",13,14,17,18,18
"What is the next number in the sequence: [6, 7, 1, 4, 5]?",2,11,13,20,20
"What is the next number in the sequence: [6, 9, 1, 10, 4]?",10,11,13,19,13
"What is the next number in the sequence: [10, 9, 8, 1, 7]?",2,4,8,19,19
"What is the next number in the sequence: [9, 3, 5, 6, 7]?",6,12,15,19,19
"What is the next number in the sequence: [10, 2, 3, 7, 8]?",1,3,14,16,16
"What is the next number in the sequence: [9, 6, 8, 3, 7]?",11,12,14,19,19
"What is the next number in the sequence: [5, 7, 2, 3, 1]?",13,14,15,18,15
"What is the next number in the sequence: [9, 5, 8, 1, 6]?",4,5,19,20,20
"What is the next number in the sequence: [3, 4, 1, 7, 6]?",6,16,19,20,19
"What is the next number in the sequence: [4, 1, 6, 9, 8]?",1,2,13,20,20
"What is the next number in the sequence: [2, 5, 8, 6, 4]?",6,8,11,15,11
"What is the next number in the sequence: [8, 7, 5, 6, 2]?",9,12,14,20,20
"What is the next number in the sequence: [9, 8, 7, 4, 5]?",2,7,15,18,18
"What is the next number in the sequence: [7, 2, 1, 6, 5]?",5,9,12,17,12
"What is the next number in the sequence: [8, 5, 9, 2, 3]?",3,5,13,18,18
"What is the next number in the sequence: [8, 10, 2, 3, 6]?",2,15,18,20,18
"What is the next number in the sequence: [9, 3, 8, 2, 7]?",9,15,16,18,15
"What is the next number in the sequence: [4, 2, 6, 8, 1]?",6,7,11,13,11
"What is the next number in the sequence: [9, 2, 8, 4, 5]?",1,12,14,15,12
"What is the next number in the sequence: [1, 2, 9, 8, 6]?",1,13,17,20,20
"What is the next number in the sequence: [4, 1, 9, 7, 6]?",2,6,15,20,20
"What is the next number in the sequence: [5, 8, 6, 7, 9]?",6,14,17,20,20
"What is the next number in the sequence: [8, 5, 4, 6, 10]?",5,6,12,16,16
"What is the next number in the sequence: [7, 6, 8, 9, 3]?",1,4,11,12,11
"What is the next number in the sequence: [6, 10, 3, 5, 2]?",2,13,15,17,15
"What is the next number in the sequence: [9, 5, 10, 8, 7]?",10,14,15,19,19
"What is the next number in the sequence: [9, 7, 10, 1, 6]?",2,8,11,14,14
"What is the next number in the sequence: [5, 10, 1, 2, 8]?",7,8,16,17,16
"What is the next number in the sequence: [4, 7, 10, 5, 6]?",13,15,16,18,13
"What is the next number in the sequence: [8, 1, 10, 4, 9]?",5,15,19,20,20
"What is the next number in the sequence: [7, 8, 6, 10, 5]?",9,10,14,18,18
"What is the next number in the sequence: [6, 4, 2, 9, 1]?",1,14,19,20,19
"According to the BBPA, what is the most common pub name in the UK?",Royal Oak,Red Lion,King&#039;s Head,White Hart,Red Lion
What is the world's most expensive spice by weight?,Cinnamon,Cardamom,Saffron,Vanilla,Saffron
This field is sometimes known as &ldquo;The Dismal Science.&rdquo;,Physics,Philosophy,Politics,Economics,Economics
When was the Declaration of Independence approved by the Second Continental Congress?,"July 2, 1776","July 4, 1776","May 4, 1776","June 4, 1776","July 4, 1776"
Scotch whisky and Drambuie make up which cocktail?,Sex on the Beach,Manhattan,Screwdriver,Rusty Nail,Rusty Nail
"What does the ""G"" mean in ""G-Man""?",Going,Government,Ghost,Geronimo,Government
Which essential condiment is also known as Japanese horseradish?,Karashi,Ponzu,Mentsuyu,Wasabi ,Wasabi 
"What is a ""dakimakura""?",A yoga posture,A word used to describe two people who truly love each other,"A Chinese meal, essentially composed of fish",A body pillow,A body pillow
In 2013 how much money was lost by Nigerian scams?,$956 Million,$12.7 Billion,$95 Million,$2.7 Billion,$12.7 Billion
After how many years would you celebrate your crystal anniversary?,10,15,20,25,15
What is the unit of currency in Laos?,Ruble,Kip,Konra,Dollar,Kip
Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Westendstrasse 1,Niagara Mohawk Building,Taipei 101,One Detroit Center,Niagara Mohawk Building
Which Italian automobile manufacturer gained majority control of U.S. automobile manufacturer Chrysler in 2011?,Fiat,Ferrari,Alfa Romeo,Maserati,Fiat
"Which of these is the name of a Japanese system of alternative medicine, literally meaning ""finger pressure""?",Ukiyo,Shiatsu,Majime,Ikigai,Shiatsu
What is the name given to Indian food cooked over charcoal in a clay oven?,Tandoori,Biryani,Pani puri,Tiki masala,Tandoori
"What is the German word for ""spoon""?",L&ouml;ffel,Essst&auml;bchen,Messer,Gabel,L&ouml;ffel
"What is the romanized Japanese word for ""university""?",Toshokan,Jimusho,Daigaku,Shokudou,Daigaku
"What is the Swedish word for ""window""?",F&ouml;nster,Ruta,H&aring;l,Sk&auml;rm,F&ouml;nster
"What is the romanized Russian word for ""winter""?",Vesna,Zima,Leto,Osen&#039;,Zima
"What is the name of the popular animatronic singing fish prop, singing such hits such as ""Don't Worry, Be Happy""?",Sardeen,Big Mouth Billy Bass,Singing Fish,Big Billy Bass,Big Mouth Billy Bass
"The term ""scientist"" was coined in which year?",1833,1942,1933,1796,1833
What is the last letter of the Greek alphabet?,Omega,Epsilon,Kappa,Mu,Omega
What character was once considered to be the 27th letter of the alphabet?,Interrobang,Pilcrow,Tilde,Ampersand,Ampersand
When was Nintendo founded?,"March 4th, 1887","December 27th, 1894","October 19th, 1891","September 23rd, 1889","September 23rd, 1889"
Which of the following carbonated soft drinks were introduced first?,Coca-Cola,Sprite,Dr. Pepper,Mountain Dew,Dr. Pepper
What year was Apple Inc. founded?,1980,1974,1976,1978,1976
In what year was McDonald's founded?,1947,1951,1955,1964,1955
Which of the General Mills Corporation's monster cereals was the last to be released in the 1970's?,Fruit Brute,Franken Berry,Boo-Berry,Count Chocula,Fruit Brute
"Which iconic Disneyland attraction was closed in 2017 to be remodeled as a ""Guardians of the Galaxy"" themed ride?",Pirates of the Caribbean,Twilight Zone Tower of Terror,Peter Pan&#039;s Flight,The Haunted Mansion,Twilight Zone Tower of Terror
What was the soft drink Pepsi originally introduced as?,Brad&#039;s Drink,Carolina Cola,Pepsin Pop,Pepsin Syrup,Brad&#039;s Drink
"What is the Portuguese word for ""Brazil""?",Brasilia,Brasil,Brazil,Bras&iacute;l,Brasil
Where does water from Poland Spring water bottles come from?,"Maine, United States","Hesse, Germany","Bavaria, Poland","Masovia, Poland","Maine, United States"
What is a Burgee?,A window,A flag,A type of food,A rope,A flag
"When did the website ""Facebook"" launch?",2006,2003,2004,2005,2004
Apple co-founder Steve Jobs died from complications of which form of cancer?,Pancreatic,Stomach,Bone,Liver,Pancreatic
Computer manufacturer Compaq was acquired for $25 billion dollars in 2002 by which company?,Asus,Toshiba,Dell,Hewlett-Packard,Hewlett-Packard
Earl Grey tea is black tea flavoured with what?,Lavender,Honey,Bergamot oil,Vanilla,Bergamot oil
"The website ""Shut Up & Sit Down"" reviews which form of media?",Board Games,Television Shows,Video Games,Films,Board Games
Where did the pineapple plant originate?,Europe,Asia,South America,Hawaii,South America
Whose greyscale face is on the kappa emoticon on Twitch?,John DeSeno,Justin DeSeno,Josh DeSeno,Jimmy DeSeno,Josh DeSeno
"Which of these words means ""idle spectator""?",Meupareunia,Gongoozler,Jentacular,Gossypiboma,Gongoozler
What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Samurai,Shinobi,Shogun,Ninja,Shogun
A statue of Charles Darwin sits in what London museum?,Tate,Science Museum,Natural History Museum,British Museum,Natural History Museum
What is the highest number of Michelin stars a restaurant can receive?,Four,Five,Six,Three,Three
What is the full title of the Prime Minister of the UK?,Duke of Cambridge,First Lord of the Treasury,Her Majesty&#039;s Loyal Opposition,Manager of the Crown Estate,First Lord of the Treasury
"The Fields Medal, one of the most sought after awards in mathematics, is awarded every how many years?",6,4,3,5,4
"Linus Pauling, one of the only winners of multiple Nobel Prizes, earned his Nobel Prizes in Chemistry and what?",Physics,Economics,Physiology/Medicine,Peace,Peace
"The Mexican Beer ""Corona"" is what type of beer?",India Pale Ale,Pilfsner,Baltic Porter,Pale Lager,Pale Lager
The architect known as Le Corbusier was an important figure in what style of architecture?,Gothic Revival,Modernism,Baroque,Neoclassical,Modernism
What fast food chain has the most locations globally? ,KFC,McDonalds,Starbucks,Subway,Subway
"If you rearrange the letters ""CIFAIPC"" you would have the name of a(n):",a) animal,b) ocean,c) country,d) city,d
What is the term used for the fear of long words?,a) Hippopotomonstrosesquippedaliophobia,b) Agoraphobia,c) Claustrophobia,d) Arachnophobia,a
What is the only continent on earth where Giraffes live in the wild?,a) Africa,b) Australia,c) Asia,d) Europe,b
What is the most abundant element in the Earth's atmosphere?,a) Oxygen,b) Nitrogen,c) Carbon dioxide,d) Hydrogen,b
What is the largest organ in the human body?,a) Skin,b) Heart,c) Liver,d) Brain,a
What is the name of the longest river in Africa?,a) Nile,b) Amazon,c) Congo,d) Yellow River,a
What type of animal is the largest primate in the world?,a) Gorilla,b) Chimpanzee,c) Orangutan,d) Baboon,a
What is the name of the smallest country in the world?,a) Monaco,b) Vatican City,c) Liechtenstein,d) San Marino,b
What is the name of the world's largest desert?,a) Sahara,b) Gobi,c) Arabian,d) Antarctic,a
Which planet in our solar system has the most moons?,a) Jupiter,b) Saturn,c) Uranus,d) Neptune,a
"What is the next number in the series? 1, 2, 4, 7, 11, ?",10,11,12,13,11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, ?",16,17,18,19,17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, ?",25,26,27,28,26
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, ?",39,40,41,42,40
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, ?",61,62,63,64,62
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, ?",95,96,97,98,96
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, ?",148,149,150,151,149
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, ?",230,231,232,233,231
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, ?",357,358,359,360,358
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, ?",554,555,556,557,555
